Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude
Oise,60566,Saint-Arnoult,200.0,49.65,1.8500061
Oise,60584,Saint-Leu-d'Esserent,4606.0,49.25,2.449997
Oise,60587,Saint-Martin-Longueau,1442.0,49.35,2.649994
Oise,60642,Tracy-le-Val,1053.0,49.45,3.050003
Oise,60651,Ully-Saint-Georges,1911.0,49.25,2.25
Oise,60688,Villers-sur-Bonnières,150.0,49.55,1.949997
Orne,61040,Bellou-en-Houlme,1042.0,48.65,-0.4500122
Orne,61041,Bellou-le-Trichard,200.0,48.25,0.55000305
Orne,61054,Le Bosc-Renoult,256.0,48.95,0.3500061
Orne,61158,Faverolles,137.0,48.65,-0.25
Orne,61167,La Ferté-en-Ouche,2993.0,48.85,0.44999695
Orne,61288,Montmerrei,543.0,48.65,0.05000305
Orne,61336,Pouvrai,102.0,48.25,0.55000305
Orne,61373,Sainte-Céronne-lès-Mortagne,247.0,48.55,0.55000305
Orne,61390,Saint-Georges-d'Annebecq,162.0,48.65,-0.25
Orne,61393,Saint-Germain-de-Clairefeuille,132.0,48.75,0.25
Orne,61396,Saint-Germain-de-Martigny,82.0,48.55,0.44999695
Orne,61483,Bagnoles de l'Orne Normandie,2704.0,48.55,-0.4500122
Pas-de-Calais,62034,Annequin,2145.0,50.55,2.75
Pas-de-Calais,62065,Avion,17672.0,50.45,2.850006
Pas-de-Calais,62076,Bainghen,215.0,50.75,1.8500061
Pas-de-Calais,62146,Boiry-Saint-Martin,263.0,50.15,2.75
Pas-de-Calais,62149,Boisdinghem,250.0,50.75,2.050003
Pas-de-Calais,62211,Capelle-Fermont,219.0,50.35,2.649994
Pas-de-Calais,62273,Doudeauville,618.0,50.65,1.8500061
Pas-de-Calais,62281,Echinghen,380.0,50.75,1.6499939
Pas-de-Calais,62304,Erny-Saint-Julien,335.0,50.55,2.25
Pas-de-Calais,62340,Floringhem,883.0,50.55,2.449997
Pas-de-Calais,62385,Grand-Rullecourt,380.0,50.25,2.449997
Pas-de-Calais,62386,Grenay,6704.0,50.45,2.75
Pas-de-Calais,62407,Ham-en-Artois,944.0,50.55,2.449997
Pas-de-Calais,62465,Humbercamps,219.0,50.15,2.550003
Pas-de-Calais,62473,Isbergues,8649.0,50.65,2.449997
Pas-de-Calais,62527,Longvilliers,254.0,50.55,1.75
Pas-de-Calais,62542,Maizières,203.0,50.35,2.449997
Pas-de-Calais,62574,Mingoval,233.0,50.35,2.550003
Pas-de-Calais,62633,Œuf-en-Ternois,254.0,50.35,2.25
Pas-de-Calais,62662,Polincove,867.0,50.85,2.149994
Pas-de-Calais,62719,Rollancourt,277.0,50.45,2.149994
Pas-de-Calais,62732,Sachin,319.0,50.45,2.350006
Pas-de-Calais,62734,Sailly-en-Ostrevent,672.0,50.25,2.949997
Pas-de-Calais,62735,Sailly-Labourse,2577.0,50.55,2.75
Pas-de-Calais,62833,Vacquerie-le-Boucq,73.0,50.25,2.25
Pas-de-Calais,62869,Wailly,1081.0,50.25,2.75
Puy-de-Dôme,63007,Apchat,159.0,45.35,3.149994
Puy-de-Dôme,63042,Blanzat,3762.0,45.85,3.050003
Puy-de-Dôme,63047,La Bourboule,1752.0,45.55,2.75
Puy-de-Dôme,63056,Brousse,344.0,45.55,3.449997
Puy-de-Dôme,63107,Chavaroux,523.0,45.85,3.25
Puy-de-Dôme,63150,Enval,1569.0,45.95,3.050003
Puy-de-Dôme,63162,Fournols,314.0,45.55,3.550003
Puy-de-Dôme,63184,Lachaux,277.0,45.95,3.550003
Puy-de-Dôme,63215,Martres-sur-Morge,699.0,45.95,3.25
Puy-de-Dôme,63305,Rochefort-Montagne,848.0,45.65,2.850006
Puy-de-Dôme,63348,Saint-Genès-la-Tourette,182.0,45.55,3.449997
Puy-de-Dôme,63358,Saint-Hilaire-la-Croix,368.0,46.05,3.050003
Puy-de-Dôme,63404,Saint-Yvoine,572.0,45.55,3.25
Puy-de-Dôme,63412,Sauvessanges,531.0,45.35,3.850006
Puy-de-Dôme,63431,Thiolières,161.0,45.55,3.649994
Puy-de-Dôme,63450,Verneugheol,230.0,45.75,2.550003
Pyrénées-Atlantiques,64018,Amendeuix-Oneix,459.0,43.35,-1.0499878
Pyrénées-Atlantiques,64034,Arbérats-Sillègue,322.0,43.35,-0.9500122
Pyrénées-Atlantiques,64068,Asson,1999.0,43.05,-0.25
Pyrénées-Atlantiques,64086,Ayherre,1130.0,43.35,-1.25
Pyrénées-Atlantiques,64105,Béguios,266.0,43.35,-1.0499878
Pyrénées-Atlantiques,64120,Beyrie-sur-Joyeuse,538.0,43.35,-1.0499878
Pyrénées-Atlantiques,64129,Billère,13866.0,43.35,-0.3499756
Pyrénées-Atlantiques,64131,Biron,611.0,43.45,-0.75
Pyrénées-Atlantiques,64149,Bugnein,237.0,43.35,-0.75
Pyrénées-Atlantiques,64156,Buziet,476.0,43.15,-0.4500122
Pyrénées-Atlantiques,64182,Castillon (Canton de Lembeye),74.0,43.45,-0.15002441
Pyrénées-Atlantiques,64226,Fichous-Riumayou,194.0,43.45,-0.4500122
Pyrénées-Atlantiques,64228,Gabat,278.0,43.35,-1.0499878
Pyrénées-Atlantiques,64241,Géronce,485.0,43.25,-0.75
Pyrénées-Atlantiques,64245,Goès,545.0,43.25,-0.5499878
Pyrénées-Atlantiques,64322,Lasse,339.0,43.15,-1.25
Pyrénées-Atlantiques,64365,Malaussanne,432.0,43.55,-0.4500122
Pyrénées-Atlantiques,64374,Mazerolles,1172.0,43.45,-0.4500122
Pyrénées-Atlantiques,64463,Rébénacq,647.0,43.15,-0.3499756
Pyrénées-Atlantiques,64491,Saint-Médard,200.0,43.55,-0.5499878
