,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
164,Allier,03174,Molles,925.0,46.15,3.550003,False,False
165,Eure-et-Loir,28237,Marolles-les-Buis,207.0,48.35,0.94999695,False,False
166,Eure-et-Loir,28282,Nonvilliers-Grandhoux,432.0,48.35,1.1499939,False,False
167,Eure-et-Loir,28286,Ollé,625.0,48.35,1.25,False,False
168,Eure-et-Loir,28342,Saint-Jean-Pierre-Fixte,264.0,48.25,0.8500061,False,False
169,Eure-et-Loir,28360,Saint-Sauveur-Marville,925.0,48.55,1.25,False,False
170,Finistère,29010,Bodilis,1677.0,48.55,-4.1500244,False,False
171,Finistère,29043,Daoulas,1836.0,48.35,-4.25,False,False
172,Finistère,29065,Gourlizon,937.0,48.05,-4.25,False,False
173,Finistère,29085,Île-Tudy,741.0,47.85,-4.1500244,False,False
174,Finistère,29144,La Martyre,760.0,48.45,-4.1500244,False,False
175,Finistère,29178,Ploudalmézeau,6358.0,48.55,-4.6500244,False,False
176,Finistère,29215,Plozévet,2940.0,47.95,-4.450012,False,False
177,Finistère,29217,Pont-Aven,2813.0,47.85,-3.75,False,False
178,Finistère,29255,Saint-Méen,940.0,48.55,-4.25,False,False
179,Corse-du-Sud,2A041,Bonifacio,3200.0,41.95,8.649994,False,False
180,Corse-du-Sud,2A209,Peri,2040.0,42.05,8.649994,False,False
181,Corse-du-Sud,2A284,Sollacaro,369.0,41.95,8.649994,False,False
182,Haute-Corse,2B043,Brando,1580.0,42.75,8.649994,False,False
183,Haute-Corse,2B113,Ficaja,58.0,42.45,8.649994,False,False
184,Haute-Corse,2B126,Giuncaggio,72.0,42.15,8.649994,False,False
185,Haute-Corse,2B202,Parata,25.0,42.35,8.649994,False,False
186,Haute-Corse,2B275,Sermano,74.0,42.35,8.649994,False,False
187,Haute-Corse,2B291,Stazzona,34.0,42.35,8.649994,False,False
188,Haute-Corse,2B297,San-Damiano,53.0,42.45,8.649994,False,False
189,Haute-Corse,2B316,Santa-Reparata-di-Balagna,1004.0,42.55,8.649994,False,False
190,Haute-Corse,2B366,Chisa,108.0,41.95,8.649994,False,False
191,Gard,30019,Aubais,2958.0,43.75,4.149994,False,False
192,Gard,30032,Beaucaire,15680.0,43.75,4.550003,False,False
193,Gard,30040,Blandas,126.0,43.95,3.550003,False,False
194,Gard,30044,Bonnevaux,80.0,44.35,4.050003,False,False
195,Gard,30051,Branoux-les-Taillades,1315.0,44.25,3.949997,False,False
196,Gard,30060,Caissargues,4097.0,43.75,4.350006,False,False
197,Gard,30079,Chambon,260.0,44.35,4.050003,False,False
198,Gard,30084,Codolet,604.0,44.15,4.75,False,False
199,Gard,30097,Courry,282.0,44.35,4.149994,False,False
200,Gard,30103,Domazan,956.0,43.95,4.649994,False,False
201,Gard,30119,Fressac,159.0,44.05,3.949997,False,False
202,Gard,30152,Les Mages,2095.0,44.25,4.149994,False,False
203,Gard,30183,Moulézan,648.0,43.95,4.149994,False,False
204,Gard,30240,Saint-Césaire-de-Gauzignan,389.0,44.05,4.25,False,False
205,Gard,30257,Saint-Gervasy,1994.0,43.85,4.449997,False,False
206,Gard,30263,Saint-Hippolyte-du-Fort,3747.0,43.95,3.850006,False,False
207,Gard,30280,Saint-Laurent-le-Minier,368.0,43.95,3.649994,False,False
208,Gard,30293,Saint-Privat-de-Champclos,347.0,44.25,4.350006,False,False
209,Gard,30299,Saint-Siffret,1115.0,44.05,4.449997,False,False
210,Gard,30305,Salindres,3648.0,44.15,4.149994,False,False
211,Gard,30306,Salinelles,553.0,43.85,4.050003,False,False
212,Gard,30325,Sumène,1291.0,43.95,3.75,False,False
213,Gard,30342,Vénéjan,1264.0,44.25,4.649994,False,False
214,Gard,30349,Vic-le-Fesq,571.0,43.85,4.050003,False,False
215,Haute-Garonne,31027,Auribail,196.0,43.35,1.3500061,False,False
216,Haute-Garonne,31029,Aurin,343.0,43.55,1.6499939,False,False
217,Haute-Garonne,31051,Beaufort,476.0,43.45,1.1499939,False,False
